"SampleType","LabNum","LabId","CeramideName","Protocol","LC","MassAnalyzerType","MassAnalyzerResolution","ConcSinglePoint","Outlier"
"SRM",1,"02b","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3708839937275656,FALSE
"SRM",2,"03","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.36204636402528106,FALSE
"SRM",3,"04","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.32715526241543247,FALSE
"SRM",4,"05","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.36957400766802684,FALSE
"SRM",5,"07","Cer 18:1;O2/16:0","OTHER","RP","Orbitrap","HighRes",0.461372507605487,TRUE
"SRM",6,"09","Cer 18:1;O2/16:0","OTHER","FIA","QQQ","LowRes",0.31412647489917733,FALSE
"SRM",7,"10a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.36154755756963175,FALSE
"SRM",7,"10b","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.3366608429106409,FALSE
"SRM",8,"12","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.24829651819025042,TRUE
"SRM",9,"13","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.23105613582772927,TRUE
"SRM",10,"14","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.36732137297822043,FALSE
"SRM",11,"15","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.33618991579132224,FALSE
"SRM",12,"16","Cer 18:1;O2/16:0","OTHER","RP","Orbitrap","HighRes",0.37624739873086177,FALSE
"SRM",13,"17a","Cer 18:1;O2/16:0","OTHER","RP","TOF","HighRes",0.3174009040844049,FALSE
"SRM",14,"18a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3320849885708429,FALSE
"SRM",14,"18b","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3351453458914544,FALSE
"SRM",15,"19","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.25261024216542266,FALSE
"SRM",16,"20a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.32982596540238984,FALSE
"SRM",16,"20b","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.3523307464784671,FALSE
"SRM",17,"21","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3758687165645044,FALSE
"SRM",18,"22","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.33698065126004867,FALSE
"SRM",19,"23","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.35153157402149443,FALSE
"SRM",20,"24","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.37991182635495646,FALSE
"SRM",21,"25","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.36847151572366904,FALSE
"SRM",22,"26a","Cer 18:1;O2/16:0","OTHER","FIA","Orbitrap","HighRes",0.7342399148732749,TRUE
"SRM",22,"26b","Cer 18:1;O2/16:0","OTHER","FIA","QQQ","LowRes",0.32247076979548794,FALSE
"SRM",23,"27","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3104286142860981,FALSE
"SRM",24,"28","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3808621834504143,FALSE
"SRM",25,"29a","Cer 18:1;O2/16:0","SOP","RP","TOF","HighRes",0.3244141509917382,FALSE
"SRM",25,"29b","Cer 18:1;O2/16:0","OTHER","SFC","QQQ","LowRes",0.3857853676988865,FALSE
"SRM",26,"30","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.39959791132987693,FALSE
"SRM",27,"31","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.3763157023983352,FALSE
"SRM",28,"32","Cer 18:1;O2/16:0","OTHER","RP","TOF","HighRes",0.42443330723045325,FALSE
"SRM",29,"33","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.38337021742852806,FALSE
"SRM",30,"34","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.34520131417254213,FALSE
"SRM",31,"35","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.33213394458861945,FALSE
"SRM",32,"36","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.33304512922767665,FALSE
"SRM",33,"37","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.07494807922270916,TRUE
"SRM",34,"38","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.059795529531630406,TRUE
"SRM",1,"02b","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.057349072225755165,FALSE
"SRM",2,"03","Cer 18:1;O2/18:0","OTHER","RP","QQQ","LowRes",0.057399595465245944,FALSE
"SRM",3,"04","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05164729726461483,FALSE
"SRM",4,"05","Cer 18:1;O2/18:0","OTHER","RP","QQQ","LowRes",0.051345070303670165,FALSE
"SRM",5,"07","Cer 18:1;O2/18:0","OTHER","RP","Orbitrap","HighRes",0.05515707736393143,FALSE
"SRM",6,"09","Cer 18:1;O2/18:0","OTHER","FIA","QQQ","LowRes",0.04839809899728201,FALSE
"SRM",7,"10a","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05579873698783122,FALSE
"SRM",7,"10b","Cer 18:1;O2/18:0","OTHER","RP","QQQ","LowRes",0.04912286228906027,FALSE
"SRM",8,"12","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.06377349435444461,FALSE
"SRM",9,"13","Cer 18:1;O2/18:0","OTHER","RP","QQQ","LowRes",0.09470721244326408,TRUE
"SRM",10,"14","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05462962991776571,FALSE
"SRM",11,"15","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05725042168899557,FALSE
"SRM",12,"16","Cer 18:1;O2/18:0","OTHER","RP","Orbitrap","HighRes",0.05400902905902893,FALSE
"SRM",13,"17a","Cer 18:1;O2/18:0","OTHER","RP","TOF","HighRes",0.07398509768578929,TRUE
"SRM",14,"18a","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05922677486025466,FALSE
"SRM",14,"18b","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.04984873514557829,FALSE
"SRM",15,"19","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.04652252794329199,FALSE
"SRM",16,"20a","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05210185542117381,FALSE
"SRM",16,"20b","Cer 18:1;O2/18:0","OTHER","RP","QQQ","LowRes",0.05139657377414005,FALSE
"SRM",17,"21","Cer 18:1;O2/18:0","SOP","RP","QQQ","LowRes",0.05975134811305684,FALSE
