"SampleType","LabNum","LabId","CeramideName","Protocol","LC","MassAnalyzerType","MassAnalyzerResolution","ConcMultiPoint","Outlier"
"SRM",1,"02b","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2666649529589094,FALSE
"SRM",2,"03","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.220742660592977,FALSE
"SRM",3,"04","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2653416272459629,FALSE
"SRM",4,"05","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.256300488323121,FALSE
"SRM",5,"07","Cer 18:1;O2/16:0","OTHER","RP","Orbitrap","HighRes",0.33255158203379376,TRUE
"SRM",6,"09","Cer 18:1;O2/16:0","OTHER","FIA","QQQ","LowRes",0.24374312195166842,FALSE
"SRM",7,"10a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.17745334010291033,FALSE
"SRM",7,"10b","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.1906542116128439,FALSE
"SRM",8,"12","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2564766061780286,FALSE
"SRM",9,"13","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.20357702681545586,FALSE
"SRM",10,"14","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.22813431710731677,FALSE
"SRM",11,"15","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.24684474927627825,FALSE
"SRM",12,"16","Cer 18:1;O2/16:0","OTHER","RP","Orbitrap","HighRes",0.2403801023767633,FALSE
"SRM",13,"17a","Cer 18:1;O2/16:0","OTHER","RP","TOF","HighRes",0.2868440082314936,FALSE
"SRM",14,"18a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.23748680953620094,FALSE
"SRM",14,"18b","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.249752890501049,FALSE
"SRM",15,"19","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2803449282463398,FALSE
"SRM",16,"20a","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.24807004978953112,FALSE
"SRM",16,"20b","Cer 18:1;O2/16:0","OTHER","RP","QQQ","LowRes",0.26216829052585555,FALSE
"SRM",17,"21","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.4779899123247745,TRUE
"SRM",18,"22","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2495407172373891,FALSE
"SRM",19,"23","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.25760195131175984,FALSE
"SRM",20,"24","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.23795220457008684,FALSE
"SRM",21,"25","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.2820450151826029,FALSE
"SRM",22,"26a","Cer 18:1;O2/16:0","OTHER","FIA","Orbitrap","HighRes",0.3227019872302249,FALSE
"SRM",22,"26b","Cer 18:1;O2/16:0","OTHER","FIA","QQQ","LowRes",0.19282811691551766,FALSE
"SRM",23,"27","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.19051346269422287,FALSE
"SRM",24,"28","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.19874074705949446,FALSE
"SRM",25,"29a","Cer 18:1;O2/16:0","SOP","RP","TOF","HighRes",0.2516875829386266,FALSE
"SRM",25,"29b","Cer 18:1;O2/16:0","OTHER","SFC","QQQ","LowRes",0.23854578695888268,FALSE
"SRM",26,"30","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.31179456235183284,FALSE
"SRM",27,"31","Cer 18:1;O2/16:0","SOP","RP","QQQ","LowRes",0.23556537139992276,FALSE
